Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,1139,20,21193,4588.14,0.000%,.83605,255.79,0.10,313293.2
TOTAL,200,1139,20,21193,4588.14,0.000%,.83605,255.79,0.10,313293.2
