Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,240,1308,20,21193,4933.11,0.000%,.38108,108.87,0.04,292561.0
TOTAL,240,1308,20,21193,4933.11,0.000%,.38108,108.87,0.04,292561.0
