Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,541,36,21193,2949.75,0.000%,3.55379,1249.49,0.40,360033.0
TOTAL,100,541,36,21193,2949.75,0.000%,3.55379,1249.49,0.40,360033.0
